,Unnamed: 0,text,Radnja,Rezija,Gluma,Muzika,Opsti utisak film,Opsti utisak komentar,Specijalni efekti
14,21.0,"Napeto u nekim delovima, sa solidnom pričom, fenomenalnom glumom (favoriti: Hardi i Hatavej), fantastičnim epilogom... Ipak, kad se ceo film sagleda - ne ostavlja ni približan utisak kao što je bio slučaj sa prethodnim delom. Previše isforsirano i pomalo kritično za držanje pažnje u prvih sat vremena. 7.5/10",Neutral,None,Positive,None,Neutral,None,None
15,24.0,"Film je odličan, pogotovo kada se oba Dark nastavka gledaju u malim vremenskim intervalima.... Ne kapiram čemu korišćenje IMAX kamere, zašto onda nije koristio ceo film ili za samo određene scene, nego ide u cik cak fazonu što je meni krajnje iritantno.",None,None,None,None,Positive,None,None
16,27.0,"Moram da priznam da je meni bio poprilično nezanimljiv i spor, (posebno) kad se uporedi sa ""Mračnim vitezom"" a i ovako... No hard feelings... (za vas fanove)... A i kraj je predvidiv... ne znam nije ostavio utisak na mene...",None,None,None,None,Negative,None,None
17,28.0,"Iako dugo očekivan, film na kraju ipak nije ostavio utisak na mene. Prvih sat vremena je poprilično dosadan i neubedljiv, a druga polovina filma mi se čini kao prekomerni trud da se nadoknadi manjkavost prve polovine... Samo ću spomenuti kao i uvek odličnog Tom Hardy-ja, bravo i svaka čast!",None,None,Positive,None,Negative,None,None
18,31.0,Apsolutni klasik.,None,None,None,None,Positive,None,None
19,34.0,Baš sam skoro pogledao ovaj film.. onako nasumice iz direktorijuma ga izaberem a da prethodno nisam čitao nikakve recenzije i bio zaista prijatno iznenađen. Zaista jedan od boljih filmova koje sam odgledao u poslednje vreme. Za svaku preporuku!,None,None,None,None,Positive,None,None
20,35.0,Ovaj film obavezno gledam barem jednom godišnje. Savršen je.,None,None,None,None,Positive,None,None
21,36.0,"Super film, lagan i opuštajući! Odlično!",None,None,None,None,Positive,None,None
22,41.0,Film je odličan!!!,None,None,None,None,Positive,None,None
23,44.0,"Последњи РЕЦ ми изгледа као филм који је направљен да се попуне девизни рачуни на основу старе славе. Шалу на страну, филм није лош али није ни упола узбудљив и динамичан као прва два дела.",None,None,None,None,Neutral,None,None
24,47.0,"Ne zaboravimo i fantastičnu numeru koju izvodi Demijen Rajs, koja je na početku filma...",None,None,None,Positive,None,None,None
25,48.0,fantastična romantična drama!,None,None,None,None,Positive,None,None
26,49.0,ovaj film je za mene totalno razočarenje. toliko godina smo čekali na novog spajdermena i šta smo dobili jedan prosečan film.,None,None,None,None,Negative,None,None
27,51.0,"Retko se slažem ali u ovom slučaju se potpuno slažem sa tobom, smatram da je prvi Spajdermen mnogo emotivniji od ovog, a da ne pričam da je Vilijem Defo triput bolji negativac.",None,None,None,None,None,Positive,None
28,52.0,"Film me baš razočarao, očekivao sam puno a ništa, radnja je pravolinijska od početka se zna šta će se desiti na kraju, jedina dobar stvar je gluma ellen page i to je sve...",None,None,Positive,None,Negative,None,None
29,53.0,ne volim baš ovakvu vrstu filmova meni nije nešto posebno,None,None,None,None,Negative,None,None
30,54.0,ovaj film sam gledao ni sam ne znam koliko puta i mogu reći pravo remek delo.,None,None,None,None,Positive,None,None
31,56.0,Sve je rečeno što se trebalo reći o ovome filmu. Čista 10!,None,None,None,None,Positive,None,None
32,61.0,Vanvremenski film sa vanvremenskom porukom. Briljantno...,None,None,None,None,Positive,None,None
33,62.0,"U potpunosti se slažem sa tvojom recenzijom, remek delo šta drugo reći.",None,None,None,None,Positive,Positive,None
34,63.0,"Jedan od najboljih filmova ikad, kako mi je drago što se odradili recenziju!!!",None,None,None,None,Positive,None,None
35,64.0,Film je vrrrrhunski!,None,None,None,None,Positive,None,None
36,65.0,Čista 10-ka!! Jedan od retkih koji me je terao da iz petnih žila navijam za glavnog aktera do poslednjeg trenutka filma...,None,None,None,None,Positive,None,None
37,66.0,"E vala, sad ga pretera da je u top 10 najboljih filmova... Al dobro, ukusi su različiti... :)",None,None,None,None,None,Negative,None
38,68.0,molio bih recenziju filma čudotvorac sa Met Dejmonom i Denijem De Vitom u glavnim ulogama meni je film sjajan,None,None,None,None,Positive,None,None
39,69.0,"Ovo je ekstremno glup film! Volim horor, o Kopoli ne treba trošiti reči, ali ovo... kakvo razočaranje....",None,None,None,None,Negative,None,None
40,73.0,"Potpuno se slažem, zaista odličan film.",None,None,None,None,Positive,Positive,None
41,74.0,odličan film,None,None,None,None,Positive,None,None
42,75.0,ne znam. sve to stoji što je napisano ali film pati od kliše momenata koji su izgleda neizostavni. ja sam baš previše očekivao od ovog filma kada sam gledao nedavno a nisam toliko oduševljen.,None,None,None,None,Negative,None,None
43,77.0,"Najslabiji Momčilovićev film. Ideja kao što reče Uroš dobra, ali realizacija traljava. Pokušaj satirične komedije koja nije ni dovoljno satirična, a ni smešna, likovi tipski i površni. Sve u svemu slabo, moglo je to mnogo bolje.",None,None,None,None,Negative,None,None
44,78.0,"ipak je ovo Kojina uloga života. Dobar na nivou ideje, ali je u realizaciji malo omanuto. Primetno je da u nekim trenucima nije znao šta da uradi zbog uslovnosti jednog kadra. Ali film je snimljen i to je za svako poštovanje.",None,None,Negative,None,Positive,None,None
45,79.0,"Odličan film i odlična gluma Emira Hadžihafizbegovića i Radoslava Milenkovića. Naravno, sve pohvale i za ostalu glumačku ekipu, ali njih dvojica dominiraju.",None,None,None,None,Positive,None,None
46,84.0,"Odlična recenzija filma, Hvala.",None,None,None,None,None,Positive,None
47,85.0,"sasvim solidan triler, tom kruz na nivou kao i fox, preporuka",None,None,Positive,None,Positive,None,None
48,86.0,"Gledao sam poodavno, ali danas obnovio. Nema šta, Tom Kruz. Odličan triler.",None,None,None,None,Positive,None,None
49,87.0,Stvarno odličan film i vrlo zanimljiva radnja od mene ocena 9 :),Positive,None,None,None,Positive,None,None
50,88.0,Fenomenalno Bojane! Volim mnogo ovaj film i njih dve su fantastične.,None,None,None,None,Positive,None,None
51,90.0,"zaista zanimljivo gledište ljudske psihe u ovom filmu, poučan film... gluma ekstra (mada ja ne volim dede i babe u filmovima :p)",None,None,Positive,None,Neutral,None,None
52,92.0,Genijalno! Brutalno i genijalno! Odličan film.,None,None,None,None,Positive,None,None
53,93.0,Jedan od meni dražih filmova. A tek Filip Glas koji radi savršenu muziku. Hvala na izvrsnoj recenziji!,None,None,None,Positive,Positive,None,None
54,94.0,Pogledao sam ga sada na Cinema City-ju i meni je film samo OK. Ocena 6/10,None,None,None,None,Neutral,None,None
55,95.0,ne bi me začudilo da Meril Strip i ove godine dobije oskara,None,None,Positive,None,None,None,None
56,96.0,"Kao što rekoše u filmu, ""koliko je nevinost važna nevinim ljudima"". Teško je biti u njihovoj koži. A o glumi, već je sve objašnjeno. Vrh.",None,None,None,None,Positive,None,None
57,98.0,simpatičan film za pogledati sa društvom :) u nekim momentima baca na razmišljanje (ona fora na predavanju sa šansama...),None,None,None,None,Positive,None,None
58,99.0,"Simpatičan film, i sve što ide uz filmove te tematike. Solidan.",None,None,None,None,Positive,None,None
59,101.0,"ovaj film ne zaslužuje ocenu 4, osmica je previše dok mi je šestica opet preniska, mislim da barem zaslužuje 7, što se mene tiče ako hoćete da se odmorite od glupih i dosadnih američkih romansi, pogledajte ovu jer zaista pruža nešto bolje i novije",None,None,None,None,Positive,None,None
60,102.0,Odličan film! 8/10,None,None,None,None,Positive,None,None
61,103.0,"To stoji, samo što ovaj film baš i nije za poštovanje.",None,None,None,None,Negative,Positive,None
62,104.0,Ja bih ipak ukazao malo veći respekt Woody Allen-u.,None,Positive,None,None,None,None,None
63,105.0,Sve je u redu sa nama! Čitamo se :),None,None,None,None,None,Positive,None
64,107.0,voleo bih da neko uradi recenziju filma dnevnik jednog košarkaša sa Dicapriom u glavnoj ulozi jako težak film koji govori o narkomaniji Di Kaprio maestralno odglumio pored njega je naravno i Mark Volberg,None,None,Positive,None,None,None,None
65,108.0,"Leto, Jesen, Zima, Proleće, i ipak se okreće. Stalno u krug. Odličan film. Rizično, ali dobro odrađen film. U svim aspektima.",None,None,None,None,Positive,None,None
66,109.0,"jako retko gledam romanse, ali ovo je zaista bilo osveženje. realan prikaz jedne veze kroz nelinearnu priču i jaku glumu ostavlja dubok utisak",None,None,None,None,Positive,None,None
67,110.0,"Meni se baš dopao iz razloga što je drugačiji što dosta odudara od sličnih filmova. Sve pohvale za Laveta, dečko će tek pokazati svoj kvalitet.",None,None,None,None,Positive,None,None
68,111.0,dobar film ali ubedljivo najbolji džejms bond je Šon koneri,None,None,None,None,Positive,None,None
69,112.0,"ovo mi je prvi film iz 007 serijala. pristojan akcioni trilerčić, od mene 7 ipak za 8 treba malo originalnosti :)",None,None,None,None,Neutral,None,None
70,113.0,Baš tako! :),None,None,None,None,None,Positive,None
71,114.0,Dobri stari 007! Samo u novijem izdanju!,None,None,None,None,Positive,None,None
72,119.0,"Slažem se da su efekti fantastični, ali prosto mi je žao što je ubačen alien! Veliki sam fan Ridlija Skota, ali priča je imala veliki potencijal koji je loše iskorišćen...",None,None,None,None,Negative,Positive,Positive
73,120.0,"Film je vizuelno lep, ali inače loš. Ni prineti Alienu, pa ni drugom delu. Jednostavno, nešto mu fali da bude vrhunski. Priča je malo glupa, likovi su malo plitki, glumci su malo dosadni (sa izuzetkom robota). Mnogo hteo, mnogo započeo. Šteta.",Negative,None,Negative,None,Negative,None,None
74,123.0,Ridli Skot se vratio svom žanru. Odličan Ep o bogovima i ljudima :). Sutra idem u bioskop...,None,None,None,None,Positive,None,None
75,127.0,Pravi film za ove letnje dane!!!! Preporučujem ! :),None,None,None,None,Positive,None,None
76,128.0,"Film je toliko sranje, da bih mu dao 10, a ne 8, makar zbog 'rehabilitovanog' Haselhofa!",None,None,None,None,Negative,None,None
77,130.0,"Kao što piše gore u tekstu, ovaj film je parodija i namenjen je sarkastičnom ismevanju letnjih blokbastera. Svaki kao što kažeš ""očajni"" momenat direktno ismeva segmente koji se besramno guraju u visokobudžetnim filmovima. Poštujem tvoje mišljenje, ali pristup i očekivanja od ovog projekta su ti vrlo pogrešna.",None,None,None,None,None,Negative,None
78,132.0,"Stvarno odlična treš horor komedija! Po meni znatno bolja od Ajinog prvog dela. Uživao sam dok sam gledao, Izuzetno niske ocene na najbitnijim sajtovima koji se bave filmom su apsolutno neopravdane.",None,None,None,None,Positive,None,None
79,133.0,Bez veze!,None,None,None,None,Negative,None,None
80,136.0,"Od mene 10ka, jako uzbudljiv film. Dugo sam ga izbegavao zato što obično filmovi sa takvom glumačkom ekipom iznevere očekivanja, ali ovaj je bio daleko od toga. Di Caprio me najviše oduševio, ne znam što ga ljudi toliko hejtuju..",None,None,Positive,None,Positive,None,None
81,138.0,"ipak, filmčina. mada ne i kvalitetniji od Infernal Affairs, recimo podjednako kvalitetan, i mnogo lakši za praćenje s obzirom da nemaju svi iste face i nisu sva imena jen-sung-lu...",None,None,None,None,Positive,None,None
82,139.0,Slažem se! Dobar film!,None,None,None,None,Positive,Positive,None
83,140.0,"Ja baš primetih više WOW efektata, po meni oni uopšte ne nedostaju... ali to je samo moje mišljenje ;)",None,None,None,None,None,None,Positive
84,141.0,"Ako ćemo pošteno, ovo je verovatno najubedljiviji fantasy rad u poslednjih desetak godina, tj. otkad se ovaj podžanr poput zaraze proširio nakon The Lord of The Rings. Precizna režija, višeslojan scenario, ubedljiva veštica, fotografija, horor taman koliko treba...",Positive,Positive,None,None,Positive,None,None
85,142.0,"strašno loš film. ne znam šta mi bi da ga upalim kad sam ovde video četvorku... ne znam na osnovu čega se moja vršnjakinja kristin stjuard proslavila, ona blage veze sa glumom nema",None,None,Negative,None,Negative,None,None
86,143.0,patetika,None,None,None,None,Negative,None,None
87,144.0,"Odavno sam želela da pogledam ovaj film, a nakon pročitane recenzije konačno sam to i učinila. Šta reći sem fantastično! Veoma potresna priča, glavni glumac je definitivno opravdao nominaciju za oskara.",None,None,None,None,Positive,None,None
88,145.0,"Genijalno! Odlično! Skoro sam gledao The Road, i ovo je isto to. Možda je to smisao života, briga o drugom. Briga o bližnjem svom, ili na kraju, briga za ljude oko sebe. Jer, na početku i na kraju, ipak smo ljudi! Kako je govorio patrijarh Pavle: ""Budimo ljudi"".",None,None,None,None,Positive,None,None
89,147.0,Film bi bio mnogo mnogo zanimljiviji samo da su glumci malo kvalitetniji. Ja sam takođe imao velika očekivanja i pomalo ostao razočaran. Slažem se sa ocenom.,None,None,Negative,None,None,Positive,None
90,148.0,"Po meni film koji pogledam nakon posla, ako zaspim posle pola sata, NIJE dobar film. Svoj umor i pažnju merim dobrim filmom. Žao mi je.",None,None,None,None,Negative,None,None
91,149.0,"Baš slab film. Da nije Eve Grin msm da bi bio katastrofa. Može da se gleda jednom, a može i nikad. Bzvz za Bartona i Depa da rade ovako nešto.",None,None,None,None,Negative,None,None
92,154.0,molio bih recenziju filma muzika iz druge sobe sa džud louom u glavnoj ulozi film je po meni odličan,None,None,None,None,Positive,None,None
93,159.0,e s ovom se ocenom slažem... meni jedan od najdražih filmova :-),None,None,None,None,Positive,Positive,None
94,160.0,"Pogledao sam tek sad film, film je dobar, sviđa mi se ali mi fali nešto da mi ostavi potpuni utisak, jeste istinita priča i ne može se izmišljati ali fali mi nešto",None,None,None,None,Neutral,None,None
95,161.0,"Tek sada sam ga pogledao i film je, blago rečeno, odličan!",None,None,None,None,Positive,None,None
96,162.0,"Odličan film i recenzija kakvu ovakav film zaslužuje, što ti reče ''nije pretrpan skečevima i urnebesnim frazama''. Čitao sam neke na imdb i ova mi se najviše dopada. Francuzi ponovo razbili dobrim filmom. :)",None,None,None,None,Positive,Positive,None
97,163.0,Najjači od Francuza :D,None,None,None,None,Positive,None,None
98,165.0,Odličan film...,None,None,None,None,Positive,None,None
99,166.0,Ovaj film je pravo osveženje u poređenju sa svim skorašnjim holivudskim ostvarenjima. Iskreno više se ne može pogledati dobar film koji dolazi iz holivuda... A moram i da priznam da se u potpunosti slažem sa recenzijom.,None,None,None,None,Positive,Positive,None
100,167.0,"Iako obrađuje tešku temu, optimističan je. Dijalozi i humor su odlični, a izbor glumaca - pun pogodak, ""Drvo"" scena me je nasmejala do suza :) ! ps Veliko hvala Goranu i Bojanu, od kad sam otkrila ovaj sajt, filmski sati su mi daleko kvalitetniji i ugodniji!",Positive,None,Positive,None,Positive,None,None
101,169.0,Odličan film. Odavno se nisam ovako ismejala gledajući film. Pravo osveženje.,None,None,None,None,Positive,None,None
102,170.0,"Bravo! Svaka im čast! Uopšte nije kao što sam se bojao da će biti - američki! Totalno kontra! Manjifik, što bi rekli Francuzi! Pun pogodak za jednu ovakvu životnu priču!",None,None,None,None,Positive,None,None
103,171.0,"Priča je malo kliše, al na kraju film ima nešto svoje, drugačije.. sviđa mi se, kul je :)",Negative,None,None,None,Positive,None,None
104,172.0,Delim tvoje mišljenje u potpunosti... divan film...,None,None,None,None,Positive,Positive,None
105,173.0,"Veoma kvalitetno ostvarenje, baš me je iznenadio. Gledao sam ga već dva puta i opet ću pošto vidim da je stigao u bioskope. Pohvalio bih i odličan soundtrack koji je komponovao Ludovico Einaudi, kog slušam već proteklih mesec dana od kad sam pogledao film.",None,None,None,Positive,Positive,None,None
106,174.0,Odličan. Sinoć sam ga odgledao!,None,None,None,None,Positive,None,None
107,175.0,fantastičan,None,None,None,None,Positive,None,None
108,177.0,"Svi filmovi Wes Anderson-a su po meni čudni i neodoljivo šarmantni pa ni The Life Aquatic nije izuzetak. Bill Murray je ikona sam po sebi, a u Anderson-ovim filmovima uvek zablista u punom sjaju. Jedva čekam Moonrise Kingdom!",None,None,None,None,Positive,None,None
109,178.0,"veoma težak film jedan od najboljih koji sam gledao u ovom žanru, realan,",None,None,None,None,Positive,None,None
110,179.0,Odličan film,None,None,None,None,Positive,None,None
111,181.0,"Da, upravo tako, zavisi kako se tumači. Baš fin film, lagan, ponekad komičan, ali na kraju sa naravoučenijem. Odlično odrađen posao.",None,None,None,None,Positive,None,None
112,183.0,"Ovaj film ne zaslužuje ni delić mog vremena, ali sam ga nažalost greškom pogledao, a što se tiče Mel Gibsona, definitivno se oseća pad u njegovom radu, jer posle onakvih rediteljskih i glumačkih ostvarenja ovo je 1/10.",None,None,None,None,Negative,None,None
113,185.0,Kad si ga pre pogledao? Nedavno sam pogledao trejler i baš mi se dopao.,None,None,None,None,Positive,None,None
114,186.0,Posle Borata teško je ponoviti uspeh. Ništa više nego solidan film.,None,None,None,None,Neutral,None,None
115,188.0,"Ma dobar je Saša. Sviđa mi se što nije napravio još jedan film u dokumentarnom stilu. Jedino mi je truba, što su sve dobre fore stavili u trejlere. Moja greška što sam ih gledao.",None,None,None,None,Positive,None,None
116,189.0,"Slažem se sa dovla. Saša Baron Koen pravi filmove bez ikakve vrednosti, čija je svrha samo da sablažnjavaju. Klozetski humor, nedostatak dobrog scenarija i gomila prizemnih gluposti. Sa 90% posto kritika na ovom sajtu se slažem, ali sad ste omanuli.",Negative,None,None,None,Negative,Positive,None
117,190.0,pre će biti 2/10 ocena ali ajde. ima dobrih fora ali definitivno ima gomilu gluposti i budalaština za nivo predškolskog uzrasta (ako izuzmemo neke neprimerene scene).,None,None,None,None,Negative,None,None
118,191.0,"Kao što sam i mislio, film godine u najavi...",None,None,None,None,Positive,None,None
119,192.0,Lepa recenzija :-) ovo je baš drag film i skroz odgovara i ženama i muškarcima :-),None,None,None,None,Positive,Positive,None
120,193.0,"FILM JE APSOLUTNO PUN POGODAK!!! DAVNO SAM GA GLEDAO, ALI KAD SE I SAD SEĆAM MNOGIH SCENA, ONDA ZNAČI DA VREDI SVAKOG MINUTA. i UOPŠTE NIJE MUŠKI ŠOVINISTIČKI FILM. POGLEDAJTE OBAVEZNO NEOPTEREĆENI PREDRASUDAMA, UŽIVAĆETE.",None,None,None,None,Positive,None,None
121,195.0,"Ovo je onda očigledno muški film. :) Ne poznajem nijednu ženu koja bi se ovom filmu vraćala. Podnošljiv film za nedelju uveče, ništa više od toga.",None,None,None,None,Neutral,None,None
122,197.0,Odličan film sa odličnim Vigom Mortensenom.,None,None,None,None,Positive,None,None
123,198.0,"Koja apokalipsa, majko mila! Koje sivilo, crnjak i depresija! Svaka čast za scenografiju, genijalno odrađena! Jedina luča svetlosti - roditeljska ljubav ka sinu! I još ono malo međuljudskih odnosa kojih je bilo! Odličan film.",None,None,None,None,Positive,None,None
124,199.0,Hvala na recenziji.,None,None,None,None,None,Positive,None
125,201.0,Jedan od najboljih iz 2009. Trebalo bi knjigu pročitati.,None,None,None,None,Positive,None,None
126,202.0,"Mnogo dobar film! Kao što reče recenzija, ""intelektualni triler""! Tačno tako, odlično odrađen posao!",None,None,None,None,Positive,Positive,None
127,203.0,"Savršena recenzija, savršen film.",None,None,None,None,Positive,Positive,None
128,205.0,"Odličan film! Pun pogodak, što se tiče svega navedenog! Maestralno!",None,None,None,None,Positive,None,None
129,206.0,Film je odličan.. mada kraj mi nešto nije baš najjasniji... :D,None,None,None,None,Neutral,None,None
130,207.0,najbolji film u zadnjih par godina,None,None,None,None,Positive,None,None
131,208.0,"jedan od lošijih i dosadnijih filmova i inače izvikane braće koen; film je odmah sjajan ako se bavi nasiljem u američkom kolektivno nesvesnom, ma nije valjda; bardem je jedina prava vrednost ovog filma",None,None,None,None,Negative,None,None
132,209.0,jedan od najboljih filmova u zadnjih deset godina!,None,None,None,None,Positive,None,None
133,210.0,"Ovako: Mislim da je ova ocena previsoka. Film jeste dobar, čak i dosta dobar. Zaslužuje 8.5/10.",None,None,None,None,Positive,Negative,None
134,212.0,Fenomenalan film! Meni nije jasno... šta nije jasno :),None,None,None,None,Positive,None,None
135,214.0,"Odličan film. Treba napomenuti i sjajnu rolu Tommy Lee Jonesa u ulozi lokalnog šerifa. Naravno, film prvo pamtim po frizuri http://d3j5vwomefv46c.cloudfront.net/photos/full/...",None,None,Positive,None,Positive,None,None
136,215.0,Ja ga isto naprosto obožavam. Instant klasik.,None,None,None,None,Positive,None,None
137,216.0,Preterano dobar. Mislim da posle ovog nisu uspeli da se nadmaše. Dobro si me podsetio. Valjalo bi ovo pogledati ponovo.,None,None,None,None,Positive,None,None
138,217.0,"Nego šta, sami vrh! Antologijski film braće Koen! Maestralno!",None,None,None,None,Positive,None,None
139,219.0,"Pa dobro, nisi ga baš razjasnio, al ajde... :) Ja ga zaista nisam razumeo, ali ću ga opet pogledati u nadi da ću uvideti sve te metafore, tajming, itd... :).... ali baš 10/10???... ne bih rekao, no dobro... :)",None,None,None,None,None,Negative,None
140,220.0,molio bih recenziju filma kutija sa Umom Turman u glavnoj ulozi meni je film odličan,None,None,None,None,Positive,None,None
141,222.0,Kraj je smorio! Skroz nedorečen...,None,None,None,None,Negative,None,None
142,224.0,"+1	492-1	Evo malopre ga pogledah na tvoju preporuku i baš mi se dopao, dosta je zanimljiv i poučan. Pogledaću i ostale filmove od Alexander Payne da se uverim da li je genije"" kako si ga nazvao.",None,None,None,None,Positive,None,None
143,225.0,+1	491-1	Odličan film!,None,None,None,None,Positive,None,None
144,226.0,"-1	490-2	Ovaj Gačić ima jako loš ukus, mislim da ne bi trebao da piše recenzije! Pratim ga već neko vreme...",None,None,None,None,None,Negative,None
145,228.0,"+M	489-11	Po meni film je dosta dobar iako nisam očekivao, jeste radnja prosta i nema nikakvih obrta i slično, akcione scene su izvukle ceo prosek jer su stvarno jako uzbudljive, najbolji marvelov film u poslednje vreme ocena 8/10 :)",None,None,None,None,Positive,None,None
146,229.0,"+1	489-10	dobar film, ocena čista 8 jer smatram da je mogao biti još bolji.",None,None,None,None,Neutral,None,None
147,232.0,"+M	489-6	film se svideo i meni i mojim drugarima 7/10. iako volim filmove sa zapletom, ovaj film mi je držao pažnju sve vreme, ali sam na kraju imala utisak da predugo traje.",None,None,None,None,Neutral,None,None
148,233.0,"+1	489-5	Film je odličan, za ovakve filmove po mom mišljenju nije potreban neki žestok zaplet.",None,None,None,None,Positive,None,None
149,235.0,"+M	489-4	Imam utisak da ste prestrogi. Film je po meni (moje lično mišljenje) izuzetno uspešan, vaše primedbe stoje ali ne smetaju toliko i ne unakazuju film. Naravno svako ima svoj ukus....",None,None,None,None,Positive,Negative,None
150,236.0,-1	489-2-1	Milena da si odgledala film drugačije bi mislila :),None,None,None,None,None,Negative,None
151,237.0,"-1	489-2	Potpuno se slažem, nikakav zaplet, dijalozi retardirani, Battleship sa Rihanom mi bio mnogo zanimljiviji! :)",Negative,None,None,None,Negative,None,None
152,239.0,+M	487-1	Slažem se sa ocenom...,None,None,None,None,None,Positive,None
153,240.0,+1	486-9	Odličan film koji mogu više puta gledati (Insomnia). Sigurno jedan od pet mojih omiljenih trilera.,None,None,None,None,Positive,None,None
154,241.0,+1	486-8	jako težak ali sjajan film sa odličnom glumačkom ekipom,None,None,Positive,None,Positive,None,None
155,242.0,"-M	486-7	Kakva osmica, ovaj film je za 10! Opet loša ocena, morate da se bolje potrudite oko ocenjivanja! Kad je kritika u pitanju morate biti i pristrasni i objektivni u isto vreme!",None,None,None,None,Positive,Negative,None
156,243.0,"+1	486-6	Nema više ovakvih filmova... Stari predobri, odgledan dvadesetak puta. Čista 10-ka.",None,None,None,None,Positive,None,None
157,244.0,+1	486-5	svaka čast za podsećanje ovog odličnog filma... pravi triler... 10/10.. obavezno štivo,None,None,None,None,Positive,None,None
158,245.0,+1	486-4	stari dobri prepoznatljivi finčer. uvek ima neku temu koju obrađuje na vrlo zabavan i misteriozan način,None,Positive,None,None,None,None,None
159,246.0,+1	486-3	Samo ću reći da sam odgledao ovaj film bar 50 puta... To govori samo za sebe.,None,None,None,None,Positive,None,None
160,247.0,+1	483-4	Sjajan film!,None,None,None,None,Positive,None,None
161,248.0,"+1	483-3	Odličan film! Baš onako lagan i fin! Odlična gluma, takođe!",None,None,Positive,None,Positive,None,None
162,251.0,"+1	483-1	Meni je lego ko budali šamar... zaista odličan, i sjajna recenzija...",None,None,None,None,Positive,None,None
163,253.0,+1	481-4	Obožavam ovaj film :),None,None,None,None,Positive,None,None
164,254.0,"Ostaće u vašim mislima dugo vremena, teško ćete ga se ’’otarasiti’’ Istina. Jedan sa liste najboljih i najupečatljivijih. A svi filmovi u kojima Di Kaprio glumi su fenomenalni, i njegova gluma naravno.",None,None,Positive,None,Positive,None,None
165,255.0,Mega dosadno,None,None,None,None,Negative,None,None
166,256.0,"Priča je potpuna i zaokružena. Ni delić viška, ni delić manjka.",Positive,None,None,None,Positive,None,None
167,259.0,"nisam ranije gledao filmove ovog tipa pa rekoh da ga skinem i pogledam. zaključak: nije ovo za mene, ne vidim tu nikakvu lepotu ni napetost ni ništa :)",None,None,None,None,Negative,None,None
168,260.0,"Gledao sam ga kao mali i baš sam se bio uprpio, onda! A sad sam ponovo odgledao i, iz ove perspektive, nije loš! Onako!",None,None,None,None,Neutral,None,None
169,261.0,"Aleksandre, hvala na komplimentima i preporukama! Čitamo se.",None,None,None,None,None,Positive,None
170,263.0,meni je ovo najbolji film džejmsa kamerona i gledao sam ga nekoliko puta odličan film po meni možda i najbolji ljubavni film u poslednjih par godina,None,None,None,None,Positive,None,None
171,265.0,"Prvi i jedini film koji sam veći deo gledao sa knedlom u grlu, a da ne spominjem zadnjih 30 minuta filma. Po meni jedna od najboljih filmskih senzacija! Vredi ga pogledati više puta.",None,None,None,None,Positive,None,None
172,267.0,Ovo je film koji možeš da gledaš nekoliko desetina puta :D,None,None,None,None,Positive,None,None
173,268.0,Titanic je samo jedan i ostaje najbolji film svih vremena.,None,None,None,None,Positive,None,None
174,269.0,"Hvala James Cameron-u na predivnom ""Titanic 3D"" filmu... Zaslužuje još jednog oskara !",None,Positive,None,None,Positive,None,None
